,coeff,|coeff|,signe_coeff
AMT_ANNUITY,0.19461841461306117,0.19461841461306117,1
AMT_CREDIT,0.45879282159965395,0.45879282159965395,1
AMT_GOODS_PRICE,-0.6780206777158148,0.6780206777158148,-1
AMT_INCOME_TOTAL,0.13272407912296288,0.13272407912296288,1
AMT_REQ_CREDIT_BUREAU_DAY,0.007074288464566949,0.007074288464566949,1
AMT_REQ_CREDIT_BUREAU_HOUR,-0.0012706943009240395,0.0012706943009240395,-1
AMT_REQ_CREDIT_BUREAU_MON,-0.021003018587886012,0.021003018587886012,-1
AMT_REQ_CREDIT_BUREAU_QRT,-0.039549328820762925,0.039549328820762925,-1
AMT_REQ_CREDIT_BUREAU_WEEK,-0.011991283925297452,0.011991283925297452,-1
AMT_REQ_CREDIT_BUREAU_YEAR,-0.025912268553764342,0.025912268553764342,-1
ANNUITY_INCOME_PERC,0.09500123675106847,0.09500123675106847,1
APARTMENTS_AVG,0.03996101517222405,0.03996101517222405,1
APARTMENTS_MEDI,-0.012806710198119436,0.012806710198119436,-1
APARTMENTS_MODE,-0.022416287650473262,0.022416287650473262,-1
BASEMENTAREA_AVG,-0.13192256826583212,0.13192256826583212,-1
BASEMENTAREA_MEDI,0.07667305497267815,0.07667305497267815,1
BASEMENTAREA_MODE,0.05745170979345103,0.05745170979345103,1
BURO_AMT_ANNUITY_MEAN,0.0021851115775551257,0.0021851115775551257,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.025165795647403573,0.025165795647403573,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.033806900334663575,0.033806900334663575,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,-0.0580470938687251,0.0580470938687251,-1
BURO_AMT_CREDIT_SUM_MEAN,-0.06463910849543976,0.06463910849543976,-1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.007930218697889149,0.007930218697889149,1
BURO_CNT_CREDIT_PROLONG_MEAN,-0.0004992906668800594,0.0004992906668800594,-1
BURO_CREDIT_ACTIVE_LIST_PROPORTION,-0.0030794923948984565,0.0030794923948984565,-1
BURO_CREDIT_CURRENCY_LIST_PROPORTION,0.0013001162095894745,0.0013001162095894745,1
BURO_CREDIT_DAY_OVERDUE_MEAN,0.0039544575422137,0.0039544575422137,1
BURO_CREDIT_TYPE_LIST_PROPORTION,-0.0004804703397602144,0.0004804703397602144,-1
